ensembl_gene_id	NC1	NC2	NORAD.kd	external_gene_name	gene_biotype	logFC	logCPM	LR	PValue	FDR
ENSG00000175602	2.5	1.5	49	CCDC85B	protein_coding	4.6	4.2	92	7.8e-22	4.1e-18
ENSG00000240972	6.5	3.5	66	MIF	protein_coding	3.7	4.7	71	3.4e-17	1.2e-13
ENSG00000218283	100	200	7	MORF4L1P1	processed_pseudogene	-4.4	6.7	65	6e-16	1.6e-12
ENSG00000103024	2.5	0.95	30	NME3	protein_coding	4.1	3.5	65	9.4e-16	2e-12
ENSG00000103254	0.55	0.073	14	FAM173A	protein_coding	5.3	2.4	64	1.5e-15	2.7e-12
ENSG00000139163	15	16	140	ETNK1	protein_coding	3.1	5.8	62	3.1e-15	4.5e-12
ENSG00000198918	2.2	1.5	30	RPL39	protein_coding	4	3.5	62	3.6e-15	4.5e-12
ENSG00000170540	33	31	300	ARL6IP1	protein_coding	3.2	6.9	59	1.5e-14	1.6e-11
ENSG00000115419	35	23	260	GLS	protein_coding	3.2	6.7	57	3.6e-14	3.5e-11
ENSG00000050130	7	4.8	58	JKAMP	protein_coding	3.3	4.6	57	4.9e-14	4e-11
ENSG00000151414	4.6	1.5	37	NEK7	protein_coding	3.5	3.9	57	5e-14	4e-11
ENSG00000162694	13	6.2	80	EXTL2	protein_coding	3.1	5.1	54	1.7e-13	1.3e-10
ENSG00000099795	6.2	3.8	49	NDUFB7	protein_coding	3.3	4.3	54	2.3e-13	1.4e-10
ENSG00000100528	22	20	160	CNIH1	protein_coding	2.9	6.1	54	2.5e-13	1.4e-10
ENSG00000204370	7.9	4.3	57	SDHD	protein_coding	3.2	4.5	54	2.3e-13	1.4e-10
ENSG00000100726	4.9	3.8	43	TELO2	protein_coding	3.3	4.1	52	4.4e-13	2.2e-10
ENSG00000113328	12	12	93	CCNG1	protein_coding	3	5.3	53	4e-13	2.2e-10
ENSG00000152082	5.9	2.4	42	MZT2B	protein_coding	3.3	4.1	53	4.2e-13	2.2e-10
ENSG00000145248	11	5.7	70	SLC10A4	protein_coding	3.1	4.9	52	6.3e-13	3e-10
ENSG00000108582	17	8.3	96	CPD	protein_coding	2.9	5.4	51	8.9e-13	4.1e-10
ENSG00000130748	1	0.29	15	TMEM160	protein_coding	4.4	2.5	51	9.6e-13	4.2e-10
ENSG00000231503	20	21	0.93	PTMAP4	processed_pseudogene	-4.5	3.8	51	9.9e-13	4.2e-10
ENSG00000265401	5.1	9.5	0.052	AC093484.4	antisense_RNA	-7	2.2	49	2.9e-12	1.2e-09
ENSG00000166166	2.4	1.2	24	TRMT61A	protein_coding	3.7	3.2	48	4.4e-12	1.6e-09
ENSG00000221823	6.9	7	56	PPP3R1	protein_coding	3	4.6	48	4e-12	1.6e-09
ENSG00000128513	2.3	4.2	32	POT1	protein_coding	3.3	3.7	47	6.2e-12	2.3e-09
ENSG00000159063	9.5	4.8	56	ALG8	protein_coding	3	4.6	47	8.2e-12	2.9e-09
ENSG00000120992	30	19	160	LYPLA1	protein_coding	2.7	6.1	46	9.5e-12	3.2e-09
ENSG00000130881	5.4	6.1	47	LRP3	protein_coding	3	4.3	46	1e-11	3.2e-09
ENSG00000138080	25	28	170	EMILIN1	protein_coding	2.7	6.2	46	9.9e-12	3.2e-09
ENSG00000107281	7.8	6.6	54	NPDC1	protein_coding	2.9	4.5	45	1.8e-11	5.4e-09
ENSG00000127586	3.9	4.8	37	CHTF18	protein_coding	3.1	3.9	45	1.9e-11	5.4e-09
ENSG00000125384	10	13	81	PTGER2	protein_coding	2.8	5.1	45	1.9e-11	5.5e-09
ENSG00000137563	14	14	91	GGH	protein_coding	2.7	5.3	44	2.9e-11	8.1e-09
ENSG00000099624	6.8	5	45	ATP5D	protein_coding	2.9	4.3	44	3.4e-11	8.9e-09
ENSG00000111711	8.9	8.9	63	GOLT1B	protein_coding	2.8	4.8	44	3.5e-11	8.9e-09
ENSG00000177485	8.8	5.4	53	ZBTB33	protein_coding	2.9	4.5	44	3.4e-11	8.9e-09
ENSG00000244398	17	27	1.4	AC116533.1	processed_pseudogene	-3.9	3.9	44	3.5e-11	8.9e-09
ENSG00000173621	4.6	2.9	33	LRFN4	protein_coding	3.1	3.8	44	3.9e-11	9.6e-09
ENSG00000102109	1.6	0.66	17	PCSK1N	protein_coding	3.9	2.8	43	5.1e-11	1.2e-08
ENSG00000198843	11	13	78	SELENOT	protein_coding	2.7	5.1	43	5.1e-11	1.2e-08
ENSG00000188760	2.1	1.3	21	TMEM198	protein_coding	3.6	3.1	43	6.3e-11	1.4e-08
ENSG00000225663	5.2	5.5	41	MCRIP1	protein_coding	2.9	4.1	43	6.7e-11	1.5e-08
ENSG00000171862	32	22	160	PTEN	protein_coding	2.6	6.2	42	8.6e-11	1.9e-08
ENSG00000107789	4	1.8	27	MINPP1	protein_coding	3.2	3.5	41	1.3e-10	2.7e-08
ENSG00000185347	1.2	1.1	17	TEDC1	protein_coding	3.8	2.7	41	1.3e-10	2.7e-08
ENSG00000114120	27	19	130	SLC25A36	protein_coding	2.5	5.9	41	1.7e-10	3.2e-08
ENSG00000123496	19	11	89	IL13RA2	protein_coding	2.6	5.3	41	1.6e-10	3.2e-08
ENSG00000138663	8.2	7.6	53	COPS4	protein_coding	2.8	4.5	41	1.8e-10	3.2e-08
ENSG00000142875	15	8.6	73	PRKACB	protein_coding	2.7	5	41	1.6e-10	3.2e-08
ENSG00000165410	18	26	120	CFL2	protein_coding	2.5	5.8	41	1.7e-10	3.2e-08
ENSG00000179941	4	3	30	BBS10	protein_coding	3.1	3.6	41	1.7e-10	3.2e-08
ENSG00000186298	75	37	360	PPP1CC	protein_coding	2.7	7.3	41	1.7e-10	3.2e-08
